channel,lambda,coupling_proxy,par,fpr,fnr,par_ci_lower,par_ci_upper,par_zero,par_zero_ci_lower,par_zero_ci_upper,delta_proc,delta_proc_ci_lower,delta_proc_ci_upper,par_decay_slope
zone_permutation,0.0,1.0,0.9249,0.0089,0.0673,0.9062,0.9287,0.9177,0.9062,0.9287,0.0,0.0,0.0,
zone_permutation,0.25,0.884,0.8884,0.0028,0.1093,0.837,0.8743,0.8558,0.837,0.8743,0.0,0.0,0.0,
zone_permutation,0.5,0.7773,0.8478,0.0007,0.1517,0.7655,0.8195,0.7927,0.7655,0.8195,0.0,0.0,0.0,
zone_permutation,0.75,0.6687,0.8066,0.0004,0.1931,0.6926,0.7614,0.7268,0.6926,0.7614,0.0,0.0,0.0,
zone_permutation,1.0,0.5604,0.7595,0.0,0.2405,0.6091,0.6956,0.6576,0.6151,0.7014,-0.0056,-0.0167,0.0,-0.165
temporal_desync,0.0,1.0,0.9249,0.0089,0.0673,0.9062,0.9287,0.9177,0.9062,0.9287,0.0,0.0,0.0,
temporal_desync,0.25,1.0,0.9249,0.0089,0.0673,0.9062,0.9287,0.9177,0.9062,0.9287,0.0,0.0,0.0,
temporal_desync,0.5,0.9929,0.8831,0.0052,0.1128,0.8579,0.8855,0.8718,0.8579,0.8855,0.0,0.0,0.0,
temporal_desync,0.75,0.9907,0.8248,0.0056,0.1713,0.7816,0.8135,0.7973,0.7816,0.8135,0.0,0.0,0.0,
temporal_desync,1.0,0.9876,0.7684,0.006,0.228,0.706,0.7441,0.7248,0.706,0.7441,0.0,0.0,0.0,-0.1652
noise_injection,0.0,1.0,0.9249,0.0089,0.0673,0.9062,0.9287,0.9177,0.9062,0.9287,0.0,0.0,0.0,
noise_injection,0.25,0.7908,0.7594,0.0159,0.2312,0.7971,0.8469,0.8226,0.7971,0.8469,0.0,0.0,0.0,
noise_injection,0.5,0.5862,0.6963,0.0228,0.2922,0.7189,0.7732,0.7466,0.7189,0.7732,0.0,0.0,0.0,
noise_injection,0.75,0.4461,0.6357,0.0399,0.347,0.6454,0.7026,0.6742,0.6454,0.7026,0.0,0.0,0.0,
noise_injection,1.0,0.3405,0.5893,0.0483,0.3925,0.5892,0.6431,0.6164,0.5892,0.6431,0.0,0.0,0.0,-0.318
